antecedent,consequent,pair_order_count,support,confidence,lift
protect,WB4957P5,271,0.0002686818133147206,0.022222222222222223,1.0458172618306998
WB4957P5,protect,271,0.0002686818133147206,0.012644643523702875,1.0458172618306998
AS6490P1,AS6488P1,730,0.0007237554380802437,0.04345496755759271,1.0043974750831757
AS6488P1,AS6490P1,730,0.0007237554380802437,0.016728539346441175,1.0043974750831757
MH-MAGWIN21,AS6490P1,236,0.00023398121011909248,0.01607848480719444,0.9653675798625463
AS6490P1,MH-MAGWIN21,236,0.00023398121011909248,0.014048455265194357,0.9653675798625463
protect,WB2464P3,213,0.00021117795659053685,0.017466174661746617,0.958897932545622
WB2464P3,protect,213,0.00021117795659053685,0.011593729588504246,0.958897932545622
MH-MAGWIN21,CB-GUIDES,3236,0.003208318626887217,0.220466003542717,0.9552226202845612
CB-GUIDES,MH-MAGWIN21,3236,0.003208318626887217,0.013900821334066463,0.9552226202845612
MH-MAGWIN21,PQ-GUIDES,4173,0.004137303346724461,0.2843030385611119,0.9397830602622395
PQ-GUIDES,MH-MAGWIN21,4173,0.004137303346724461,0.013676138039524137,0.9397830602622395
protect,WS1324P3,824,0.0008169513438056449,0.06756867568675687,0.9265527125728337
WS1324P3,protect,824,0.0008169513438056449,0.011202653832558392,0.9265527125728337
WB2464P3,WB2466P1,1019,0.001010283275895573,0.05546483779664707,0.8599266542233851
WB2466P1,WB2464P3,1019,0.001010283275895573,0.01566342843089031,0.8599266542233851
AS2376P1,AS6269P3,1434,0.0014217332852151637,0.12921247071544423,0.8486895665803421
AS6269P3,AS2376P1,1434,0.0014217332852151637,0.00933818693305028,0.8486895665803421
AS1185P1,WB4957P5,257,0.00025480157203646933,0.017931900641920177,0.8439071052938907
WB4957P5,AS1185P1,257,0.00025480157203646933,0.011991414706980216,0.8439071052938907
CB2416P1,AS6488P1,202,0.00020027205272905372,0.0341446923597025,0.7892041973826026
AS6488P1,CB2416P1,202,0.00020027205272905372,0.004628993079426188,0.7892041973826026
AS6493P3,AS6488P1,267,0.0002647160300923631,0.03368235145704554,0.7785178694123683
AS6488P1,AS6493P3,267,0.0002647160300923631,0.006118520555479169,0.7785178694123683
AS1114P1,WB4957P5,220,0.00021811807722966247,0.016454749439042633,0.7743897451102414
WB4957P5,AS1114P1,220,0.00021811807722966247,0.010265024262784622,0.7743897451102414
AS1185P2,PQ-GUIDES,270,0.0002676903675091312,0.2188006482982172,0.7232604473232203
PQ-GUIDES,AS1185P2,270,0.0002676903675091312,0.0008848687444695703,0.7232604473232203
AS2376P1,PQ-GUIDES,2417,0.002396324512109519,0.21778698864660298,0.7199097262958276
PQ-GUIDES,AS2376P1,2417,0.002396324512109519,0.007921213908825747,0.7199097262958276
AS1114P2,PQ-GUIDES,217,0.00021514373981289435,0.21656686626746507,0.7158765286586726
PQ-GUIDES,AS1114P2,217,0.00021514373981289435,0.0007111722872218399,0.7158765286586726
protect,AS6269P3,1325,0.0013136656924059218,0.10865108651086511,0.7136388849220245
AS6269P3,protect,1325,0.0013136656924059218,0.008628380534373514,0.7136388849220245
AS1185P1,PQ-GUIDES,3063,0.0030367985025202553,0.21371755512140664,0.7064579365745556
PQ-GUIDES,AS1185P1,3063,0.0030367985025202553,0.010038344312260349,0.7064579365745556
AS1185P1,AS6269P3,1496,0.0014832029251617047,0.10438180295841473,0.6855975017050978
AS6269P3,AS1185P1,1496,0.0014832029251617047,0.00974193002220587,0.6855975017050978
protect,PQ-GUIDES,2459,0.0024379652359442726,0.201640016400164,0.6665348096275837
PQ-GUIDES,protect,2459,0.0024379652359442726,0.008058860157965458,0.6665348096275837
WS1325P5,WS1268P1,492,0.00048779133634997246,0.03012306373599461,0.6527093069648924
WS1268P1,WS1325P5,492,0.00048779133634997246,0.010569507400803455,0.6527093069648924
AS1114P1,PQ-GUIDES,2424,0.0024032646327486447,0.181301421091997,0.5993041974016936
PQ-GUIDES,AS1114P1,2424,0.0024032646327486447,0.007944154950349032,0.5993041974016936
AS1114P1,AS6269P3,1162,0.0011520600260948536,0.08691099476439791,0.570846250901748
AS6269P3,AS1114P1,1162,0.0011520600260948536,0.007566926929012848,0.570846250901748
AS1185P1,AS6269P1,694,0.0006880633890790262,0.048423109126430365,0.5629685982753148
AS6269P1,AS1185P1,694,0.0006880633890790262,0.00799944672414588,0.5629685982753148
AS1185P1,WB2466P1,498,0.0004937400111835087,0.03474741836449902,0.5387238546813194
WB2466P1,AS1185P1,498,0.0004937400111835087,0.007654943433349729,0.5387238546813194
AS1114P1,AS6269P1,569,0.0005641326633803543,0.04255796559461481,0.49478025406617576
AS6269P1,AS1114P1,569,0.0005641326633803543,0.006558624187376089,0.49478025406617576
WB2464P3,AS6269P1,746,0.0007396185709696736,0.04060526888743741,0.47207814038681145
AS6269P1,WB2464P3,746,0.0007396185709696736,0.008598828899442114,0.47207814038681145
AS1114P1,WB2466P1,398,0.0003945954306245712,0.029768137621540763,0.4615251031870914
WB2466P1,AS1114P1,398,0.0003945954306245712,0.006117806197737334,0.4615251031870914
WS1325P6,WS1324P3,421,0.0004173986841531268,0.03203957382039574,0.43935083426214905
WS1324P3,WS1325P6,421,0.0004173986841531268,0.0057236859994018,0.43935083426214905
AS2376P1,WB2466P1,309,0.00030635675392711684,0.0278428545683907,0.4316755213601632
WB2466P1,AS2376P1,309,0.00030635675392711684,0.004749754058042302,0.4316755213601632
AS2376P1,AS6269P1,362,0.00035890338162335373,0.03261848981798522,0.37922359431203373
AS6269P1,AS2376P1,362,0.00035890338162335373,0.0041726220664853155,0.37922359431203373
AS6269BF4,PQ-GUIDES,662,0.0006563371233001662,0.10679141797064043,0.3530063065738902
PQ-GUIDES,AS6269BF4,662,0.0006563371233001662,0.0021695670697735392,0.3530063065738902
WB2466P1,AS6269P3,203,0.0002012634985346431,0.003120388588293163,0.020495244955053993
AS6269P3,WB2466P1,203,0.0002012634985346431,0.001321933017719112,0.020495244955053993
